,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,testId,instanceId
0,0,True,EmptyObject,EmptyObject,CTOR,none,No,1607319035497:c76489b3-8e2e-4898-8973-38694e2d255f,1607319035730:7b9b0638-dde8-42f6-a1e3-bfc9de5e23a8
1,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No,1607319035497:c76489b3-8e2e-4898-8973-38694e2d255f,1607319035730:7b9b0638-dde8-42f6-a1e3-bfc9de5e23a8
2,0,True,EmptyObject,EmptyObject,pop,none,No,1607319035497:c76489b3-8e2e-4898-8973-38694e2d255f,1607319035730:7b9b0638-dde8-42f6-a1e3-bfc9de5e23a8
6,0,True,EmptyObject,EmptyObject,clear,none,No,1607319035730:e11b29ef-d7e0-4b09-97ad-fce478189e04,1607319035730:4c40ec78-a82a-4b55-afbe-9833bebd7a68
15,1,False,,class java.lang.String,push,class java.lang.String,No,1607319035739:b7fd2a84-8010-4853-bfac-4dd0c3bf25d6,1607319035739:a12efe09-bb1c-4f87-b936-c5a47184e143
27,1,False,class java.lang.Object,class java.lang.Class,push,class java.lang.Class,No,1607319035739:2b0d5acf-5942-4fed-9988-2facfdd70944,1607319035739:75921f8a-371c-4e7c-a069-a30058da0d3b
31,1,False,100,class java.lang.Byte,push,class java.lang.Byte,No,1607319035739:218d387b-2f5b-47b7-8d2b-ec2e0e1f4cad,1607319035739:b370bb59-ea0e-4b10-ad02-f5333476c858
37,1,False,10,class java.lang.Short,push,class java.lang.Short,No,1607319035739:c897d4b8-e043-493a-a4ce-ab038bd706f3,1607319035739:a9e0dc5a-423a-4727-a3b8-b370843dcfdc
48,2,False,0.0,class java.lang.Double,push,class java.lang.Double,No,1607319035739:7e7ede47-b9b9-4f4e-8ddf-a61746cb6f2a,1607319035739:0c57579c-813e-4e92-963d-a82b1b852c62
49,3,False,false,class java.lang.Boolean,push,class java.lang.Boolean,No,1607319035739:7e7ede47-b9b9-4f4e-8ddf-a61746cb6f2a,1607319035739:0c57579c-813e-4e92-963d-a82b1b852c62
76,1,False,experiment.drivers.AlejaStackTestDriver@7e0b37bc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:3862fbdc-83c7-4a0e-b98e-9450f8f5919c,1607319035739:64a4980b-01c0-48b8-b3fd-626ab22018b9
78,2,False,experiment.drivers.AlejaStackTestDriver@7e0b37bc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:3862fbdc-83c7-4a0e-b98e-9450f8f5919c,1607319035739:8e6678ca-ebb9-46df-8ff4-c9449c397f33
95,1,False,experiment.drivers.AlejaStackTestDriver@3b95a09c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:07ec3a27-f6b4-471d-bd9b-ef2cad0df0f4,1607319035739:8703f530-32cd-4fea-bcaa-d62dad926b3c
97,2,False,experiment.drivers.AlejaStackTestDriver@3b95a09c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:07ec3a27-f6b4-471d-bd9b-ef2cad0df0f4,1607319035739:91d63ae9-89a9-40a0-8283-022bb68108d7
103,2,False,1.0,class java.lang.Float,push,class java.lang.Float,No,1607319035739:671e3ca2-1a9b-4203-b545-25f8e3c3917d,1607319035739:fdd85e8c-b639-4152-8f45-2d5cea2e47f0
123,1,False,100,class java.lang.Long,push,class java.lang.Long,No,1607319035739:b44af4dc-9773-4d04-a325-4419bfea69c4,1607319035739:f8d7662f-1ab1-438d-9b44-b565deae9231
124,2,False,false,class java.lang.Boolean,push,class java.lang.Boolean,No,1607319035739:b44af4dc-9773-4d04-a325-4419bfea69c4,1607319035739:f8d7662f-1ab1-438d-9b44-b565deae9231
125,3,False,100,class java.lang.Long,push,class java.lang.Long,No,1607319035739:b44af4dc-9773-4d04-a325-4419bfea69c4,1607319035739:f8d7662f-1ab1-438d-9b44-b565deae9231
